ID,Beach,Patrol,Longitude,Latitude,Vistors,Rescues,Minor,Major,CPR,Casualties
1,Ahipara,Patrolled by Far North SLSC.,173.134747,-35.176439,40,1,0,0,0,0
2,Baylys,Patrolled by Regional Guards.,173.743372,-35.953805,30,1,0,0,0,0
3,Bethells,Patrolled by Bethells Beach SLSC.,174.444265,-36.894655,140,5,4,0,0,0
4,Brighton,Patrolled by Brighton SLSC.,170.329038,-45.950463,620,16,2,0,0,0
5,Browns Bay,Patrolled by Regional Guards.,174.750381,-36.712794,1010,13,8,4,2,0
6,Castlecliff,Patrolled by Wanganui SLS.,174.975611,-39.939702,340,13,1,3,0,0
7,East end,Patrolled by East End SLSC.,174.092467,-39.048444,340,10,9,0,0,0
8,Fitzroy,Patrolled by Fitzroy SLSC.,174.097166,-39.045694,690,11,9,2,0,0
9,Foxton,Patrolled by Foxton SLSC.,175.215454,-40.458197,130,4,3,0,0,0
10,Himatangi,Patrolled by Palmerston North SLSC.,175.22835,-40.370147,50,1,0,0,0,0
11,Hot Water,Patrolled by Hot Water Beach SLSC.,175.823328,-36.887876,20,1,0,0,0,0
12,Kaka Point,Patrolled by Kaka Point SLSC.,169.78308,-46.385529,30,2,0,0,0,0
13,Karekare,Patrolled by KareKare SLSC.,174.473233,-36.989528,70,2,1,0,0,0
14,Kariaotahi,Patrolled by Kariaotahi SLSC.,174.654036,-37.283478,350,8,7,0,0,0
15,Karoro,Patrolled by Kotuku SLSC.,171.183482,-42.472572,150,7,0,0,0,0
16,Long Bay,Patrolled by Regional Guards.,174.752569,-36.688863,1110,8,5,1,0,0
17,Lyall Bay,Patrolled by Lyall Bay SLSC.,174.794852,-41.330009,1470,14,4,8,7,0
18,Main Mt. Maunganui,Patrolled by Mt. Maunganui SLSC.,176.183367,-37.632926,720,13,0,0,0,0
19,Mairangi Bay,Patrolled by Mairangi Bay SLSC.,174.756775,-36.739262,1710,11,1,0,0,0
20,Maketu,Patrolled by Maketu SLSC.,176.456201,-37.75465,70,7,3,0,0,0
21,Mangawhai Heads,Patrolled by Mangawhai Heads SLSC.,174.59861,-36.081517,70,3,0,0,0,0
22,Marine Parade Napier,Patrolled by Pacific SLSC.,176.920674,-39.487052,930,9,6,0,0,0
23,Midway,Patrolled by Midway SLSC.,178.005182,-38.670815,680,20,5,2,0,0
24,Milford,Patrolled by Regional Guards.,174.767525,-36.765567,1820,11,1,1,1,0
25,Mowhanau,Patrolled by Wanganui SLS.,174.901625,-39.886352,60,4,1,3,2,0
26,Muriwai,Patrolled by Muriwai Lifeguard Service.,174.425769,-36.82806,220,6,3,0,0,0
27,New Brighton,Patrolled by New Brighton SLSC.,172.73064,-43.503986,1460,11,10,0,0,0
28,Ngarunui,Patrolled by Raglan SLSC.,174.828873,-37.819073,130,4,3,0,0,0
29,North,Patrolled by North Beach SLSC.,172.727351,-43.493966,1460,13,3,3,3,0
30,Oakura,Patrolled by New Plymouth Old Boys SLSC.,173.946694,-39.11559,330,11,0,0,0,0
31,Ocean,Patrolled by Ocean Beach Kiwi SLSC.,177.011805,-39.742438,30,1,0,0,0,0
32,Ohope,Patrolled by Whakatane SLSC.,177.036162,-37.962989,200,10,5,1,0,0
33,Omaha,Patrolled by Omaha SLSC.,174.780963,-36.339526,100,6,1,5,5,0
34,Omanu,Patrolled by Omanu SLSC.,176.216117,-37.658337,650,10,6,1,0,0
35,Onemana,Patrolled by Onemana Beach Community Rescue Service.,175.880256,-37.151868,60,5,3,1,0,0
36,Opunake,Patrolled by Opunake SLSC.,173.856508,-39.45843,30,3,1,0,0,0
37,Oreti,Patrolled by Oreti SLSC.,168.230703,-46.439247,190,8,4,0,0,0
38,Orewa,Patrolled by Orewa SLSC.,174.700062,-36.592876,900,12,6,5,1,0
